,refseq.id,fold_0,label,sampling,database,date,fold_1,fold_2,fold_3,fold_4,host_label,Genus,virus_ID,Family,Species
73400,MN512436,train,0,normal,GenBank,20240206,pred,dev,train,dev,0.0,Gammacoronavirus,MN512436,Coronaviridae,Avian coronavirus
73401,MN512437,train,0,normal,GenBank,20240206,pred,dev,dev,dev,0.0,Gammacoronavirus,MN512437,Coronaviridae,Avian coronavirus
73402,MN512438,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Gammacoronavirus,MN512438,Coronaviridae,Avian coronavirus
73403,LC488390,train,1,normal,GenBank,20240206,train,pred,train,dev,1.0,Alphacoronavirus,LC488390,Coronaviridae,Human coronavirus NL63
73404,MK217372,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Gammacoronavirus,MK217372,Coronaviridae,Avian coronavirus
73405,MK217373,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Gammacoronavirus,MK217373,Coronaviridae,Avian coronavirus
73406,MK423877,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Gammacoronavirus,MK423877,Coronaviridae,Avian coronavirus
73407,MK937829,train,0,normal,GenBank,20240206,pred,dev,dev,train,0.0,Gammacoronavirus,MK937829,Coronaviridae,Avian coronavirus
73408,MH810163,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Betacoronavirus,MH810163,Coronaviridae,Betacoronavirus 1
73409,MK032178,train,0,normal,GenBank,20240206,pred,dev,train,train,0.0,Gammacoronavirus,MK032178,Coronaviridae,Avian coronavirus
73410,MK032179,train,0,normal,GenBank,20240206,pred,train,dev,train,0.0,Gammacoronavirus,MK032179,Coronaviridae,Avian coronavirus
73411,MK032180,train,0,normal,GenBank,20240206,pred,train,dev,dev,0.0,Gammacoronavirus,MK032180,Coronaviridae,Avian coronavirus
73412,MG812375,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Deltacoronavirus,MG812375,Coronaviridae,Sparrow deltacoronavirus
73413,MG812376,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Deltacoronavirus,MG812376,Coronaviridae,Sparrow deltacoronavirus
73414,MG812377,train,0,normal,GenBank,20240206,pred,dev,dev,train,0.0,Deltacoronavirus,MG812377,Coronaviridae,Sparrow deltacoronavirus
73415,MG812378,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Deltacoronavirus,MG812378,Coronaviridae,Sparrow deltacoronavirus
73416,MH052684,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Alphacoronavirus,MH052684,Coronaviridae,Porcine epidemic diarrhea virus
73417,MH052685,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Alphacoronavirus,MH052685,Coronaviridae,Porcine epidemic diarrhea virus
73418,MG242062,train,0,normal,GenBank,20240206,pred,dev,train,dev,0.0,Deltacoronavirus,MG242062,Coronaviridae,Coronavirus HKU15
73419,MF769416,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Alphacoronavirus,MF769416,Coronaviridae,Swine acute diarrhea syndrome coronavirus
73420,MF769417,train,0,normal,GenBank,20240206,pred,train,dev,dev,0.0,Alphacoronavirus,MF769417,Coronaviridae,Swine acute diarrhea syndrome coronavirus
73421,MF769418,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Alphacoronavirus,MF769418,Coronaviridae,Swine acute diarrhea syndrome coronavirus
73422,MF769419,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Alphacoronavirus,MF769419,Coronaviridae,Swine acute diarrhea syndrome coronavirus
73423,MF769420,train,0,normal,GenBank,20240206,pred,train,dev,train,0.0,Alphacoronavirus,MF769420,Coronaviridae,Swine acute diarrhea syndrome coronavirus
73424,MF769424,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Alphacoronavirus,MF769424,Coronaviridae,Swine acute diarrhea syndrome coronavirus
73425,MF769428,train,0,normal,GenBank,20240206,pred,dev,train,train,0.0,Alphacoronavirus,MF769428,Coronaviridae,Swine acute diarrhea syndrome coronavirus
73426,MF769436,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Alphacoronavirus,MF769436,Coronaviridae,Swine acute diarrhea syndrome coronavirus
73427,MF769441,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Alphacoronavirus,MF769441,Coronaviridae,Swine acute diarrhea syndrome coronavirus
73428,MF370205,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Alphacoronavirus,MF370205,Coronaviridae,Rhinolophus bat coronavirus HKU2
73429,OQ175093,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,,OQ175093,Coronaviridae,Bat Coronavirus MpGD16
73430,OQ175095,train,0,normal,GenBank,20240206,pred,train,dev,train,0.0,,OQ175095,Coronaviridae,Bat Coronavirus SkGX17
73431,OQ175098,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,,OQ175098,Coronaviridae,Bat Coronavirus MsGD16
73432,OQ175104,train,0,normal,GenBank,20240206,pred,dev,train,train,0.0,,OQ175104,Coronaviridae,Bat Coronavirus MrGD17
73433,OQ175105,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,,OQ175105,Coronaviridae,Bat Coronavirus MrGD17
73434,OQ175106,train,0,normal,GenBank,20240206,pred,train,train,dev,0.0,,OQ175106,Coronaviridae,Bat Coronavirus MrGD17
73435,OQ175107,train,0,normal,GenBank,20240206,pred,dev,train,dev,0.0,,OQ175107,Coronaviridae,Bat Coronavirus MrGD17
73436,OQ175121,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,,OQ175121,Coronaviridae,Bat Coronavirus MsGX16
73437,OQ175122,train,0,normal,GenBank,20240206,pred,dev,train,train,0.0,,OQ175122,Coronaviridae,Bat Coronavirus PaGD17
73438,OQ175123,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,,OQ175123,Coronaviridae,Bat Coronavirus PaGX17
73439,OQ175126,train,0,normal,GenBank,20240206,pred,train,train,dev,0.0,,OQ175126,Coronaviridae,Bat Coronavirus PaGD16
73440,OQ175133,train,0,normal,GenBank,20240206,pred,dev,train,dev,0.0,,OQ175133,Coronaviridae,Bat Coronavirus MrGD17
73441,OQ175134,train,0,normal,GenBank,20240206,pred,dev,train,train,0.0,,OQ175134,Coronaviridae,Bat Coronavirus MrGD17
73442,OQ175135,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,,OQ175135,Coronaviridae,Bat Coronavirus MrGD17
73443,OQ175137,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,,OQ175137,Coronaviridae,Bat Coronavirus MrGD17
73444,OQ175138,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,,OQ175138,Coronaviridae,Bat Coronavirus MrGD17
73445,OQ175139,train,0,normal,GenBank,20240206,pred,train,train,dev,0.0,,OQ175139,Coronaviridae,Bat Coronavirus MrGD17
73446,OQ175189,train,0,normal,GenBank,20240206,train,pred,train,train,0.0,,OQ175189,Coronaviridae,Bat Coronavirus RaGD16
73447,OQ175190,train,0,normal,GenBank,20240206,dev,pred,train,train,0.0,,OQ175190,Coronaviridae,Bat Coronavirus RaGD16
73448,OQ175192,train,0,normal,GenBank,20240206,dev,pred,dev,train,0.0,,OQ175192,Coronaviridae,Bat Coronavirus RaYN16
73449,OQ175193,train,0,normal,GenBank,20240206,train,pred,train,train,0.0,,OQ175193,Coronaviridae,Bat Coronavirus RaYN17
73450,OQ175194,train,0,normal,GenBank,20240206,train,pred,train,train,0.0,,OQ175194,Coronaviridae,Bat Coronavirus RaYN17
73451,OQ175196,train,0,normal,GenBank,20240206,train,pred,train,train,0.0,,OQ175196,Coronaviridae,Bat Coronavirus RaYN17
73452,OQ175204,train,0,normal,GenBank,20240206,train,pred,train,train,0.0,,OQ175204,Coronaviridae,Bat Coronavirus RaYN16
73453,OQ175207,train,0,normal,GenBank,20240206,train,pred,dev,dev,0.0,,OQ175207,Coronaviridae,Bat Coronavirus RaYN16
73454,OQ175208,train,0,normal,GenBank,20240206,train,pred,train,train,0.0,,OQ175208,Coronaviridae,Bat Coronavirus RpGX16
73455,OQ175216,train,0,normal,GenBank,20240206,train,pred,train,train,0.0,,OQ175216,Coronaviridae,Bat Coronavirus RsGX16
73456,OQ175226,train,0,normal,GenBank,20240206,train,pred,train,train,0.0,,OQ175226,Coronaviridae,Bat Coronavirus RpGX16
73457,OQ175227,train,0,normal,GenBank,20240206,train,pred,train,train,0.0,,OQ175227,Coronaviridae,Bat Coronavirus TpGX16
73458,OQ175228,train,0,normal,GenBank,20240206,train,pred,train,train,0.0,,OQ175228,Coronaviridae,Bat Coronavirus TpGX16
73459,OQ175230,train,0,normal,GenBank,20240206,train,pred,train,train,0.0,,OQ175230,Coronaviridae,Bat Coronavirus RpGX16
73460,OQ175241,train,0,normal,GenBank,20240206,train,pred,train,train,0.0,,OQ175241,Coronaviridae,Bat Coronavirus RpGX17
73461,OQ175242,train,0,normal,GenBank,20240206,train,pred,train,train,0.0,,OQ175242,Coronaviridae,Bat Coronavirus EsYN17
73462,OQ175246,train,0,normal,GenBank,20240206,train,pred,train,train,0.0,,OQ175246,Coronaviridae,Bat Coronavirus RlYN16
73463,OQ175248,train,0,normal,GenBank,20240206,train,pred,dev,train,0.0,,OQ175248,Coronaviridae,Bat Coronavirus RlYN16
73464,OQ175264,train,0,normal,GenBank,20240206,dev,train,pred,train,0.0,,OQ175264,Coronaviridae,Bat Coronavirus HaYN16
73465,OQ175265,train,0,normal,GenBank,20240206,dev,train,pred,train,0.0,,OQ175265,Coronaviridae,Bat Coronavirus HaYN16
73466,OQ175266,train,0,normal,GenBank,20240206,train,train,pred,train,0.0,,OQ175266,Coronaviridae,Bat Coronavirus MsGD16
73467,OQ175268,train,0,normal,GenBank,20240206,train,train,pred,train,0.0,,OQ175268,Coronaviridae,Bat Coronavirus MsGD16
73468,OQ175269,train,0,normal,GenBank,20240206,train,train,pred,train,0.0,,OQ175269,Coronaviridae,Bat Coronavirus PaGD16
73469,OQ175282,train,0,normal,GenBank,20240206,train,train,pred,train,0.0,,OQ175282,Coronaviridae,Bat Coronavirus PaGD17
73470,OQ175283,train,0,normal,GenBank,20240206,dev,train,pred,dev,0.0,,OQ175283,Coronaviridae,Bat Coronavirus PaGD17
73471,OQ175284,train,0,normal,GenBank,20240206,dev,train,pred,train,0.0,,OQ175284,Coronaviridae,Bat Coronavirus PaGD17
73472,OQ175285,train,0,normal,GenBank,20240206,train,dev,pred,dev,0.0,,OQ175285,Coronaviridae,Bat Coronavirus PaGD17
73473,OQ175286,train,0,normal,GenBank,20240206,dev,dev,pred,dev,0.0,,OQ175286,Coronaviridae,Bat Coronavirus PaGD17
73474,OQ175287,train,0,normal,GenBank,20240206,train,train,pred,train,0.0,,OQ175287,Coronaviridae,Bat Coronavirus PaGD16
73475,OQ175291,train,0,normal,GenBank,20240206,train,train,pred,train,0.0,,OQ175291,Coronaviridae,Bat Coronavirus MsGD16
73476,OQ175300,train,0,normal,GenBank,20240206,dev,dev,pred,train,0.0,,OQ175300,Coronaviridae,Bat Coronavirus PaZJ10
73477,OQ175302,train,0,normal,GenBank,20240206,train,train,pred,train,0.0,,OQ175302,Coronaviridae,Bat Coronavirus RmGX17
73478,OQ175303,train,0,normal,GenBank,20240206,dev,train,pred,train,0.0,,OQ175303,Coronaviridae,Bat Coronavirus HaGD16
73479,OQ175304,train,0,normal,GenBank,20240206,dev,train,pred,train,0.0,,OQ175304,Coronaviridae,Bat Coronavirus TpGD17
73480,OQ175309,train,0,normal,GenBank,20240206,dev,train,pred,dev,0.0,,OQ175309,Coronaviridae,Bat Coronavirus TpGX16
73481,OQ175310,train,0,normal,GenBank,20240206,train,train,pred,train,0.0,,OQ175310,Coronaviridae,Bat Coronavirus TpGX16
73482,OQ175311,train,0,normal,GenBank,20240206,train,train,pred,dev,0.0,,OQ175311,Coronaviridae,Bat Coronavirus TpGX16
73483,OQ175312,train,0,normal,GenBank,20240206,train,train,pred,train,0.0,,OQ175312,Coronaviridae,Bat Coronavirus TpGX16
73484,OQ175316,train,0,normal,GenBank,20240206,train,train,pred,train,0.0,,OQ175316,Coronaviridae,Bat Coronavirus TpGX16
73485,OQ175317,train,0,normal,GenBank,20240206,train,train,pred,dev,0.0,,OQ175317,Coronaviridae,Bat Coronavirus TpGX16
73486,OQ175318,train,0,normal,GenBank,20240206,dev,train,pred,train,0.0,,OQ175318,Coronaviridae,Bat Coronavirus TpGX16
73487,OQ175319,train,0,normal,GenBank,20240206,dev,dev,pred,train,0.0,,OQ175319,Coronaviridae,Bat Coronavirus TpGX16
73488,OQ175320,train,0,normal,GenBank,20240206,dev,train,pred,dev,0.0,,OQ175320,Coronaviridae,Bat Coronavirus TpGX16
73489,OQ175328,train,0,normal,GenBank,20240206,train,train,pred,train,0.0,,OQ175328,Coronaviridae,Bat Coronavirus EsYN17
73490,OQ175330,train,0,normal,GenBank,20240206,train,train,train,pred,0.0,,OQ175330,Coronaviridae,Bat Coronavirus EsYN17
73491,OQ175331,train,0,normal,GenBank,20240206,train,train,train,pred,0.0,,OQ175331,Coronaviridae,Bat Coronavirus EsYN16
73492,OQ175339,train,0,normal,GenBank,20240206,dev,dev,train,pred,0.0,,OQ175339,Coronaviridae,Bat Coronavirus McGD16
73493,OP919651,train,0,normal,GenBank,20240206,train,train,train,pred,0.0,,OP919651,Coronaviridae,Bat coronavirus
73494,ON554100,train,1,normal,GenBank,20240206,pred,train,train,dev,1.0,Alphacoronavirus,ON554100,Coronaviridae,Human coronavirus 229E
73495,ON554101,train,1,normal,GenBank,20240206,pred,dev,train,train,1.0,Alphacoronavirus,ON554101,Coronaviridae,Human coronavirus 229E
73496,ON554103,train,1,normal,GenBank,20240206,pred,train,train,dev,1.0,Alphacoronavirus,ON554103,Coronaviridae,Human coronavirus 229E
73497,ON554105,train,1,normal,GenBank,20240206,pred,train,train,train,1.0,Alphacoronavirus,ON554105,Coronaviridae,Human coronavirus 229E
73498,ON554106,train,1,normal,GenBank,20240206,pred,dev,dev,dev,1.0,Alphacoronavirus,ON554106,Coronaviridae,Human coronavirus 229E
73499,OK073075,train,1,normal,GenBank,20240206,pred,dev,train,train,1.0,Alphacoronavirus,OK073075,Coronaviridae,Human coronavirus NL63
73500,MZ293732,train,0,normal,GenBank,20240206,train,dev,dev,pred,0.0,,MZ293732,Coronaviridae,Macroglossus bat coronavirus
73501,MZ293733,train,0,normal,GenBank,20240206,train,train,dev,pred,0.0,,MZ293733,Coronaviridae,Scotophilus bat coronavirus
73502,MZ293734,train,0,normal,GenBank,20240206,train,train,train,pred,0.0,,MZ293734,Coronaviridae,Myotis bat coronavirus
73503,MZ293735,train,0,normal,GenBank,20240206,train,train,train,pred,0.0,,MZ293735,Coronaviridae,Hipposideros bat coronavirus
73504,MZ293740,train,0,normal,GenBank,20240206,train,dev,dev,pred,0.0,,MZ293740,Coronaviridae,Cynopterus bat coronavirus
73505,MZ293741,train,0,normal,GenBank,20240206,train,train,train,pred,0.0,,MZ293741,Coronaviridae,Cynopterus bat coronavirus
73506,MZ293742,train,0,normal,GenBank,20240206,train,train,train,pred,0.0,,MZ293742,Coronaviridae,Hipposideros bat coronavirus
73507,MZ293743,train,0,normal,GenBank,20240206,train,train,train,pred,0.0,,MZ293743,Coronaviridae,Mouse coronavirus
73508,MZ293746,train,0,normal,GenBank,20240206,train,train,dev,pred,0.0,,MZ293746,Coronaviridae,Megaderma bat coronavirus
73509,MZ293748,train,0,normal,GenBank,20240206,train,train,train,pred,0.0,,MZ293748,Coronaviridae,Megaderma bat coronavirus
73510,MZ293749,train,0,normal,GenBank,20240206,train,train,train,pred,0.0,,MZ293749,Coronaviridae,Megaderma bat coronavirus
73511,MZ293751,train,0,normal,GenBank,20240206,dev,train,train,pred,0.0,,MZ293751,Coronaviridae,Megaderma bat coronavirus
73512,MZ293757,train,0,normal,GenBank,20240206,train,train,train,pred,0.0,,MZ293757,Coronaviridae,Hipposideros bat coronavirus
73513,MW802582,train,0,normal,GenBank,20240206,train,dev,train,pred,0.0,,MW802582,Coronaviridae,Rodent coronavirus
73514,MZ420153,train,1,normal,GenBank,20240206,train,pred,train,train,1.0,Alphacoronavirus,MZ420153,Coronaviridae,Alphacoronavirus 1
73515,MN535731,train,0,normal,GenBank,20240206,dev,dev,train,pred,0.0,,MN535731,Coronaviridae,Bat coronavirus
73516,MN535732,train,0,normal,GenBank,20240206,train,dev,train,pred,0.0,,MN535732,Coronaviridae,Bat coronavirus
73517,MN535734,train,0,normal,GenBank,20240206,train,dev,train,pred,0.0,,MN535734,Coronaviridae,Bat coronavirus
73518,MN482242,train,0,normal,GenBank,20240206,train,train,train,pred,0.0,,MN482242,Coronaviridae,Bat coronavirus
73519,MN482243,train,0,normal,GenBank,20240206,train,train,train,pred,0.0,,MN482243,Coronaviridae,Bat coronavirus
73520,MZ218052,train,0,normal,GenBank,20240206,train,train,train,pred,0.0,,MZ218052,Coronaviridae,Bat coronavirus
73521,MW532103,train,1,normal,GenBank,20240206,train,pred,train,train,1.0,Alphacoronavirus,MW532103,Coronaviridae,Human coronavirus 229E
73522,MW532104,train,1,normal,GenBank,20240206,train,pred,dev,dev,1.0,Alphacoronavirus,MW532104,Coronaviridae,Human coronavirus 229E
73523,MW532105,train,1,normal,GenBank,20240206,train,pred,train,train,1.0,Alphacoronavirus,MW532105,Coronaviridae,Human coronavirus 229E
73524,MW532106,train,1,normal,GenBank,20240206,train,pred,train,train,1.0,Alphacoronavirus,MW532106,Coronaviridae,Human coronavirus 229E
73525,MW532107,train,1,normal,GenBank,20240206,dev,pred,train,train,1.0,Alphacoronavirus,MW532107,Coronaviridae,Human coronavirus 229E
73526,MT591566,train,0,normal,GenBank,20240206,pred,train,train,train,0.0,Gammacoronavirus,MT591566,Coronaviridae,Avian coronavirus
73527,MN654994,train,0,normal,GenBank,20240206,pred,dev,dev,train,0.0,Betacoronavirus,MN654994,Coronaviridae,Middle East respiratory syndrome-related coronavirus
73528,MN654998,train,0,normal,GenBank,20240206,pred,train,train,dev,0.0,Betacoronavirus,MN654998,Coronaviridae,Middle East respiratory syndrome-related coronavirus
