Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_055632.1,Robina orthohantavirus,,"Smith,C.S., Gordon,A., Agnihotri,K., Underwood,D., Pyne,M., Jane,O.E.","National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,P17-14855,Robina orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),6447,RefSeq,complete,,1,,Australia,Australia,,Pteropus alecto,brain,2017/7/3,,"Robina orthohantavirus isolate P17-14855 RNA-dependent RNA polymerase gene, complete cds"
NC_055633.1,Robina orthohantavirus,,"Smith,C.S., Gordon,A., Agnihotri,K., Underwood,D., Pyne,M., Jane,O.E.","National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,P17-14855,Robina orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),1290,RefSeq,complete,,2,,Australia,Australia,,Pteropus alecto,brain,2017/7/3,,"Robina orthohantavirus isolate P17-14855 nucleocapsid gene, complete cds"
NC_055634.1,Robina orthohantavirus,,"Smith,C.S., Gordon,A., Agnihotri,K., Underwood,D., Pyne,M., Jane,O.E.","National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,P17-14855,Robina orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3402,RefSeq,complete,,3,,Australia,Australia,,Pteropus alecto,brain,2017/7/3,,"Robina orthohantavirus isolate P17-14855 glycoprotein gene, complete cds"
NC_055635.1,Tatenale orthohantavirus,,"Chappell,J.G., Tsoleridis,T., Onianwa,O., Drake,G., Ashpole,I., Dobbs,P., Edema,W., Kumi-Ansah,F., Bennett,M., Tarlinton,R.E., Ball,J.K., McClure,C.P.","National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,,Tatenale orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),1302,RefSeq,complete,,S,1,United Kingdom,United Kingdom,,Microtus agrestis,lung,2014,,"Tatenale orthohantavirus strain Upton_Heath segment S nucleocapsid gene, complete cds"
NC_055636.1,Tatenale orthohantavirus,,"Chappell,J.G., Tsoleridis,T., Onianwa,O., Drake,G., Ashpole,I., Dobbs,P., Edema,W., Kumi-Ansah,F., Bennett,M., Tarlinton,R.E., Ball,J.K., McClure,C.P.","National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,,Tatenale orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),6465,RefSeq,complete,,L,1,United Kingdom,United Kingdom,,Microtus agrestis,lung,2014,,"Tatenale orthohantavirus strain Upton_Heath segment L RdRp gene, complete cds"
NC_055637.1,Tatenale orthohantavirus,,"Chappell,J.G., Tsoleridis,T., Onianwa,O., Drake,G., Ashpole,I., Dobbs,P., Edema,W., Kumi-Ansah,F., Bennett,M., Tarlinton,R.E., Ball,J.K., McClure,C.P.","National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,,Tatenale orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3355,RefSeq,complete,,M,1,United Kingdom,United Kingdom,,Microtus agrestis,lung,2014,,"Tatenale orthohantavirus strain Upton_Heath segment M glycoprotein precursor, gene, partial cds"
NC_055638.1,Perch actinovirus,,"Hierweger,M.M., Koch,M.C., Rupp,M., Schmidt-Posthaus,H., Seuberlich,T.","National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,,Perch actinovirus,Actinovirus,Hantaviridae,ssRNA(-),3804,RefSeq,complete,,M,,Switzerland,Switzerland,,Perca fluviatilis,,2017,,"Bern perch virus strain BEPV CH17 segment M, complete sequence"
NC_055639.1,Perch actinovirus,,"Hierweger,M.M., Koch,M.C., Rupp,M., Schmidt-Posthaus,H., Seuberlich,T.","National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,,Perch actinovirus,Actinovirus,Hantaviridae,ssRNA(-),2435,RefSeq,complete,,S,,Switzerland,Switzerland,,Perca fluviatilis,,2017,,"Bern perch virus strain BEPV CH17 segment S, complete sequence"
NC_055640.1,Perch actinovirus,,"Hierweger,M.M., Koch,M.C., Rupp,M., Schmidt-Posthaus,H., Seuberlich,T.","National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,,Perch actinovirus,Actinovirus,Hantaviridae,ssRNA(-),6372,RefSeq,complete,,L,,Switzerland,Switzerland,,Perca fluviatilis,,2017,,"Bern perch virus strain BEPV CH17 segment L, complete sequence"
NC_043068.1,Asikkala orthohantavirus,,,"National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Orthohantavirus asikkalaense,Orthohantavirus,Hantaviridae,ssRNA(-),1458,RefSeq,complete,,L,,Czech Republic,Czech Republic,,Sorex minutus,,2010,,"Asikkala virus strain CZ/Beskydy/412/2010/Sm segment L, complete sequence"
NC_043069.1,Asikkala orthohantavirus,,,"National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Asikkala orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3628,RefSeq,complete,,M,,Czech Republic,Czech Republic,,Sorex minutus,,2010,,"Asikkala virus strain CZ/Beskydy/412/2010/Sm segment M, complete sequence"
NC_043070.1,Asikkala orthohantavirus,,,"National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Asikkala orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),1526,RefSeq,complete,,S,,Czech Republic,Czech Republic,,Sorex minutus,,2010,,"Asikkala virus strain CZ/Beskydy/412/2010/Sm segment S, complete sequence"
NC_043073.1,Black Creek Canal orthohantavirus,,"Ravkov,E.V., Rollin,P.E., Ksiazek,T.G., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Black Creek Canal orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3668,RefSeq,complete,,M,1,,,,,,,,Black Creek Canal virus M segment
NC_043074.1,Black Creek Canal orthohantavirus,,"Ravkov,E.V., Rollin,P.E., Ksiazek,T.G., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Black Creek Canal orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),410,RefSeq,complete,,,,,,,,,,,Black Creek Canal virus partial L segment
NC_043075.1,Black Creek Canal orthohantavirus,,"Ravkov,E.V., Rollin,P.E., Ksiazek,T.G., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Black Creek Canal orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),1989,RefSeq,complete,,,,,,,,,,,Black Creek Canal virus S segment sequence
NC_043125.1,Longquan virus,,"Guo,W.P., Lin,X.D., Wang,W., Tian,J.H., Cong,M.L., Zhang,H.L., Wang,M.R., Zhou,R.H., Wang,J.B., Li,M.H., Xu,J., Holmes,E.C., Zhang,Y.Z., Guo,W.-P., Zhou,R.-H., Zhang,Y.-Z., Lin,X.-D.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Longquan loanvirus,Loanvirus,Hantaviridae,ssRNA(-),324,RefSeq,complete,,L,1,China,China,,Rhinolophus sinicus,lung,2011,,"Longquan virus strain Longquan-Rs-32 L protein gene, partial cds"
NC_043126.1,Longquan virus,,"Guo,W.P., Lin,X.D., Wang,W., Tian,J.H., Cong,M.L., Zhang,H.L., Wang,M.R., Zhou,R.H., Wang,J.B., Li,M.H., Xu,J., Holmes,E.C., Zhang,Y.Z., Guo,W.-P., Zhou,R.-H., Zhang,Y.-Z., Lin,X.-D.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Longquan loanvirus,Loanvirus,Hantaviridae,ssRNA(-),1564,RefSeq,complete,,S,1,China,China,,,lung,2011,,"Longquan virus strain Longquan-Rs-32 nucleocapsid gene, complete cds"
NC_043127.1,Longquan virus,,"Guo,W.P., Lin,X.D., Wang,W., Tian,J.H., Cong,M.L., Zhang,H.L., Wang,M.R., Zhou,R.H., Wang,J.B., Li,M.H., Xu,J., Holmes,E.C., Zhang,Y.Z., Guo,W.-P., Zhou,R.-H., Zhang,Y.-Z., Lin,X.-D.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Longquan loanvirus,Loanvirus,Hantaviridae,ssRNA(-),3619,RefSeq,complete,,M,1,China,China,,Rhinolophus sinicus,lung,2011,,"Longquan virus strain Longquan-Rs-32 glycoprotein gene, complete cds"
NC_043174.1,Oxbow virus,,"Kang,H.J., Bennett,S.N., Dizney,L., Sumibcay,L., Arai,S., Ruedas,L.A., Song,J.W., Yanagihara,R., Song,J.-W.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Oxbow orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),1705,RefSeq,complete,,S,1,USA,USA,,Neurotrichus gibbsii,tissue,2003/9/11,,"Oxbow virus strain Ng1453 nucleocapsid gene, complete cds"
NC_043175.1,Oxbow virus,,"Kang,H.J., Bennett,S.N., Dizney,L., Sumibcay,L., Arai,S., Ruedas,L.A., Song,J.W., Yanagihara,R., Song,J.-W.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Oxbow orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),4383,RefSeq,complete,,L,1,USA,USA,,Neurotrichus gibbsii,tissue,2003/9/11,,"Oxbow virus strain Ng1453 RNA-dependent RNA polymerase gene, partial cds"
NC_043176.1,Oxbow virus,,"Kang,H.J., Bennett,S.N., Dizney,L., Sumibcay,L., Arai,S., Ruedas,L.A., Song,J.W., Yanagihara,R., Song,J.-W.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Oxbow orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3643,RefSeq,complete,,M,1,USA,USA,,Neurotrichus gibbsii,tissue,2003/9/11,,"Oxbow virus strain Ng1453 glycoprotein gene, complete cds"
NC_043407.1,Necocli virus,,"Montoya-Ruiz,C., Cajimat,M.N., Milazzo,M.L., Diaz,F.J., Rodas,J.D., Valbuena,G., Fulhorst,C.F.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Necocli orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),403,RefSeq,complete,,L,1,Colombia: Antioquia,Colombia,,Zygodontomys brevicauda,lung,2011/2/7,,"Necocli virus strain HV O0020002 RNA-dependent RNA polymerase gene, partial cds"
NC_043408.1,Necocli virus,,"Montoya-Ruiz,C., Cajimat,M.N., Milazzo,M.L., Diaz,F.J., Rodas,J.D., Valbuena,G., Fulhorst,C.F., Cajimat,M.N.B.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Necocli orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3637,RefSeq,complete,,M,1,Colombia: Antioquia,Colombia,,Zygodontomys brevicauda,lung,2011/2/7,,"Necocli virus strain HV O0020002 segment M, complete sequence"
NC_043409.1,Necocli virus,,"Montoya-Ruiz,C., Cajimat,M.N., Milazzo,M.L., Diaz,F.J., Rodas,J.D., Valbuena,G., Fulhorst,C.F., Cajimat,M.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Necocli orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),1960,RefSeq,complete,,S,1,Colombia: Antioquia,Colombia,,Zygodontomys brevicauda,lung,2011/2/7,,"Necocli virus strain HV O0020002 segment S, complete sequence"
NC_043527.1,Seewis virus,,"Ling,J., Smura,T., Tamarit,D., Huitu,O., Voutilainen,L., Henttonen,H., Vaheri,A., Vapalahti,O., Sironen,T.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,EWS25,Seewis orhtohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),1641,RefSeq,complete,,S,1,Finland,Finland,,Sorex araneus,,,,"Seewis virus isolate EWS25 nucleocapsid gene, complete cds"
NC_038273.1,Asama virus,,,"National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Orthohantavirus asamaense,Orthohantavirus,Hantaviridae,ssRNA(-),1710,RefSeq,complete,,S,,Japan,Japan,,Urotrichus talpoides,lung,,,"Asama virus strain N10 segment S nucleocapsid protein gene, complete cds"
NC_038274.1,Asama virus,,,"National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Orthohantavirus asamaense,Orthohantavirus,Hantaviridae,ssRNA(-),3604,RefSeq,complete,,M,,Japan,Japan,,Urotrichus talpoides,lung,,,"Asama virus strain N10 segment M envelope glycoprotein gene, complete cds"
NC_038298.1,Bayou orthohantavirus,,"Morzunov,S.P., Feldmann,H., Spiropoulou,C.F., Semenova,V.A., Rollin,P.E., Ksiazek,T.G., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Bayou orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),1958,RefSeq,complete,,,1,,,,Homo sapiens,,,,"Bayou virus nucleocapsid protein, complete cds"
NC_038299.1,Bayou orthohantavirus,,"Cajimat,M.N.B., Richter,M.H., Milazzo,M.L., Fulhorst,C.F., Jung,M., Gerrard,S.R.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,HV F0260003,Bayou orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),6554,RefSeq,complete,,L,,USA,USA,,Oryzomys palustris,lung,1996,,"Bayou virus isolate HV F0260003 segment L, complete sequence"
NC_038300.1,Bayou orthohantavirus,,"Morzunov,S.P., Feldmann,H., Spiropoulou,C.F., Semenova,V.A., Rollin,P.E., Ksiazek,T.G., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Bayou orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3677,RefSeq,complete,,,1,,,,Homo sapiens,,,,"Bayou virus glycoprotein precursor, complete cds"
NC_038373.1,Choclo virus,,"Nelson,R., Canate,R., Pascale,J.M., Dragoo,J.W., Armien,B., Armien,A., Koster,F.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Choclo orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),1972,RefSeq,complete,,S,,Panama,Panama,,Oligoryzomys fulvescens,"spleen, abdominal cavity",,,"Choclo virus segment S, complete sequence"
NC_038374.1,Choclo virus,,"Nelson,R., Canate,R., Pascale,J.M., Dragoo,J.W., Armien,B., Armien,A., Koster,F.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Choclo orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3685,RefSeq,complete,,M,,Panama,Panama,,Oligoryzomys fulvescens,"spleen, abdominal cavity",,,"Choclo virus segment M, complete sequence"
NC_038383.1,Dabieshan virus,,"Wang,W., Lin,X., Zhang,Y., Guo,W.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Dabieshan orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3623,RefSeq,complete,,M,,China,China,,Niviventer confucianus,lung,2008,,"Dabieshan virus strain Yongjia-Nc-58 glycoprotein gene, complete cds"
NC_038384.1,Dabieshan virus,,"Wang,W., Lin,X., Zhang,Y., Guo,W.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Dabieshan orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),1725,RefSeq,complete,,S,,China,China,,Niviventer confucianus,lung,2008,,"Dabieshan virus strain Yongjia-Nc-58 nucleoprotein gene, complete cds"
NC_038423.1,El Moro Canyon orthohantavirus,,"Hjelle,B., Chavez-Giles,F., Torrez-Martinez,N., Yates,T., Sarisky,J., Webb,J., Ascher,M.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,RM-97,El Moro Canyon orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),1896,RefSeq,complete,,,1,,,,Reithrodontomys megalotis,,,,"El Moro Canyon hantavirus (ELMC) isolate RM-97 nucleocapsid protein gene, complete cds"
NC_038424.1,El Moro Canyon orthohantavirus,,"Torrez-Martinez,N., Song,W., Hjelle,B.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,RM-97,El Moro Canyon orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3801,RefSeq,complete,,,1,,,,Reithrodontomys megalotis,,,,"El Moro Canyon hantavirus (ELMC) isolate RM-97 envelope glycoprotein precursor gene, complete cds"
NC_038446.1,Hantavirus Fusong-Mf-682,,"Zou,Y., Wang,J.B., Gaowa,H.S., Yao,L.S., Hu,G.W., Li,M.H., Chen,H.X., Plyusnin,A., Shao,R., Zhang,Y.Z., Shao,R.F.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Fusong orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),1873,RefSeq,complete,,,1,"China: Jilin Province, Fusong",China,,Microtus fortis,,,,"Hantavirus Fusong-Mf-682 nucleocapsid protein gene, complete cds"
NC_038447.1,Hantavirus Fusong-Mf-682,,"Zou,Y., Wang,J.B., Gaowa,H.S., Yao,L.S., Hu,G.W., Li,M.H., Chen,H.X., Plyusnin,A., Shao,R., Zhang,Y.Z., Shao,R.F.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Fusong orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3700,RefSeq,complete,,M,1,"China: Jilin Province, Fusong",China,,Microtus fortis,,,,"Hantavirus Fusong-Mf-682 M polyprotein gene, complete cds"
NC_038505.1,Laguna Negra orthohantavirus,,"Johnson,A.M., Bowen,M.D., Ksiazek,T.G., Williams,R.J., Bryan,R.T., Mills,J.N., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Laguna Negra orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),1904,RefSeq,complete,,,1,,,,Calomys laucha,,,,"Laguna Negra virus nucleocapsid protein and putative nonstructural protein genes, complete cds"
NC_038506.1,Laguna Negra orthohantavirus,,"Johnson,A.M., Bowen,M.D., Ksiazek,T.G., Williams,R.J., Bryan,R.T., Mills,J.N., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Laguna Negra orthohantavirus,Orthohantavirus,Hantaviridae,ssRNA(-),3698,RefSeq,complete,,,1,,,,Calomys laucha,,,,"Laguna Negra virus glycoprotein precursor gene, complete cds"
